infra_id,infra_kind,longueur,material_cost,labor_cost_continuous,total_cost,duration_hours_4workers,beneficiaries_proxy,is_hospital_path,phase
P005500,aerien,13.1420349052071,6571.01745260355,985.6526178905325,7556.670070494082,6.57101745260355,19,True,0
P007990,aerien,18.7028610321555,9351.43051607775,1402.7145774116625,10754.145093489413,9.35143051607775,4,True,0
P007447,fourreau,2.84535154473363,2560.8163902602673,533.5034146375557,3094.319804897823,3.5566894309170376,1,True,0
P000732,aerien,10.7871386086093,5393.56930430465,809.0353956456976,6202.604699950348,5.39356930430465,160,False,1
P005100,aerien,6.25975675306654,3129.87837653327,469.4817564799905,3599.3601330132606,3.12987837653327,160,False,1
P000719,aerien,10.698159350814,5349.079675407001,802.36195131105,6151.44162671805,5.349079675407,155,False,1
P008001,aerien,9.80181343246892,4900.90671623446,735.1360074351691,5636.042723669629,4.90090671623446,153,False,1
P000494,aerien,4.84007013228732,2420.0350661436596,363.005259921549,2783.040326065209,2.42003506614366,59,False,1
P004862,aerien,8.82148724309171,4410.743621545855,661.6115432318783,5072.355164777733,4.410743621545855,59,False,1
P008031,aerien,10.978932377147,5489.4661885735,823.419928286025,6312.886116859525,5.4894661885735,59,False,1
P008004,fourreau,4.2679056836056,3841.11511524504,800.2323156760501,4641.347430921091,5.334882104507001,55,False,1
P008003,aerien,16.9947899061457,8497.394953072851,1274.6092429609275,9772.004196033778,8.49739495307285,51,False,1
P008032,aerien,10.5209747840379,5260.48739201895,789.0731088028425,6049.560500821793,5.26048739201895,46,False,1
P008010,fourreau,7.57564714734482,6818.0824326103375,1420.4338401271539,8238.516272737492,9.469558934181025,42,False,1
P008012,aerien,2.80432575486411,1402.162877432055,210.32443161480825,1612.4873090468632,1.402162877432055,40,False,1
P008013,fourreau,8.28759638847956,7458.836749631604,1553.9243228399175,9012.761072471521,10.35949548559945,31,False,1
P006950,fourreau,4.98657320364,4487.9158832759995,934.9824756825,5422.8983589585,6.23321650455,25,False,1
P008033,fourreau,30.5368269197176,27483.14422774584,5725.6550474470505,33208.79927519289,38.171033649647,25,False,1
P000476,fourreau,4.08484495788828,3676.360462099452,765.9084296040525,4442.268891703505,5.10605619736035,24,False,1
P008016,fourreau,8.04338585809972,7239.0472722897475,1508.1348483936974,8747.182120683445,10.05423232262465,23,False,1
P008035,aerien,11.7197592250876,5859.8796125438,878.98194188157,6738.86155442537,5.8598796125438,23,False,1
P008005,aerien,8.40245186934037,4201.225934670185,630.1838902005277,4831.409824870712,4.201225934670185,22,False,1
P000470,aerien,2.57224945914596,1286.1247295729802,192.91870943594702,1479.0434390089272,1.28612472957298,19,False,1
P003802,aerien,12.5012019609488,6250.6009804744,937.59014707116,7188.1911275455595,6.2506009804744,18,False,1
P006709,aerien,13.4212136147779,6710.60680738895,1006.5910211083425,7717.197828497293,6.71060680738895,18,False,1
P006712,fourreau,12.5562775429942,11300.64978869478,2354.3020393114125,13654.951828006193,15.695346928742751,18,False,1
P008025,aerien,10.7673305164675,5383.665258233749,807.5497887350624,6191.215046968811,5.38366525823375,18,False,1
P005117,aerien,13.2627025810985,6631.35129054925,994.7026935823875,7626.053984131638,6.63135129054925,17,False,1
P008019,semi-aerien,4.16591671935325,3124.4375395149377,624.8875079029875,3749.3250474179254,4.16591671935325,17,False,1
P000723,aerien,13.1599422339419,6579.97111697095,986.9956675456425,7566.966784516592,6.57997111697095,16,False,1
P004209,fourreau,9.97549376892212,8977.944392029909,1870.4050816728977,10848.349473702807,12.469367211152651,16,False,1
P007991,fourreau,7.5088306175948,6757.94755583532,1407.905740799025,8165.853296634345,9.386038271993499,15,False,1
P000464,fourreau,4.85875310412324,4372.877793710916,911.0162070231074,5283.894000734023,6.073441380154049,14,False,1
P003870,aerien,6.48414270909882,3242.07135454941,486.3107031824115,3728.3820577318215,3.24207135454941,13,False,1
P004234,aerien,13.4849030344439,6742.45151722195,1011.3677275832924,7753.819244805242,6.74245151722195,13,False,1
P004282,aerien,6.15148232447661,3075.7411622383047,461.3611743357457,3537.1023365740502,3.075741162238305,13,False,1
P004271,fourreau,6.61138266761108,5950.244400849972,1239.6342501770775,7189.87865102705,8.26422833451385,12,False,1
P005726,aerien,13.6049409361135,6802.47046805675,1020.3705702085125,7822.841038265263,6.80247046805675,12,False,1
P007994,aerien,5.03354509521443,2516.772547607215,377.5158821410823,2894.2884297482974,2.516772547607215,12,False,1
P004269,aerien,8.03245737103393,4016.228685516965,602.4343028275447,4618.662988344509,4.016228685516965,11,False,1
P004284,aerien,5.44625644673519,2723.128223367595,408.46923350513924,3131.5974568727343,2.723128223367595,11,False,1
P005317,aerien,11.95171127553,5975.855637765,896.37834566475,6872.23398342975,5.975855637765,11,False,1
P005820,aerien,14.5718479009645,7285.92395048225,1092.8885925723375,8378.812543054588,7.28592395048225,11,False,1
P000462,fourreau,3.69477602082419,3325.298418741771,692.7705039045356,4018.0689226463064,4.618470026030238,10,False,1
P003569,aerien,8.31138115880164,4155.69057940082,623.353586910123,4779.044166310943,4.15569057940082,10,False,1
P003849,fourreau,4.45174541295179,4006.570871656611,834.7022649284606,4841.273136585071,5.564681766189738,10,False,1
P004196,fourreau,7.74281322100572,6968.531898905148,1451.7774789385726,8420.309377843721,9.67851652625715,10,False,1
P006457,fourreau,9.77631599620947,8798.684396588524,1833.0592492892756,10631.7436458778,12.220394995261838,10,False,1
P007995,aerien,20.6914541519515,10345.72707597575,1551.8590613963624,11897.586137372113,10.34572707597575,9,False,1
P008011,semi-aerien,10.0806400820172,7560.480061512901,1512.0960123025802,9072.57607381548,10.0806400820172,9,False,1
P000600,aerien,9.68226549663264,4841.13274831632,726.169912247448,5567.302660563769,4.84113274831632,8,False,1
P000873,aerien,5.46510947034025,2732.5547351701252,409.88321027551876,3142.437945445644,2.732554735170125,8,False,1
P004211,fourreau,2.87454919232451,2587.094273092059,538.9779735608456,3126.072246652905,3.5931864904056376,8,False,1
P004261,semi-aerien,8.0897383575819,6067.303768186425,1213.460753637285,7280.76452182371,8.0897383575819,8,False,1
P007459,aerien,9.86535817150771,4932.679085753855,739.9018628630782,5672.580948616934,4.932679085753855,8,False,1
P007506,aerien,14.6582864643116,7329.1432321557995,1099.3714848233699,8428.514716979169,7.3291432321558,8,False,1
